,0
0,0.00012063124
1,0.9999678
2,2.605204e-05
3,0.9964307
4,4.585254e-05
5,0.0004470513
6,0.12004362
7,2.2522021e-05
8,0.014644149
9,0.9999994
10,7.797707e-05
11,0.1996603
12,1.0531931e-05
13,0.9999994
14,3.458092e-05
15,1.81228e-05
16,0.99999106
17,0.0058112615
18,0.99999857
19,0.18129095
20,0.00094075117
21,5.4613442e-06
22,0.9999964
23,0.7918784
24,3.0393549e-06
25,0.9996542
26,0.00015294996
27,9.077194e-06
28,1.37202915e-05
29,0.9999291
30,6.5321346e-06
31,0.98685163
32,5.557148e-06
33,0.999995
34,0.99998224
35,0.45603803
36,0.9976119
37,0.0019984466
38,8.3524465e-05
39,0.0018796687
40,4.849086e-05
41,0.99998784
42,0.0003860575
43,0.0006486294
44,1.8223143e-05
45,0.9996107
46,0.022482013
47,0.9086649
48,0.015609124
49,0.99762815
50,0.27640888
51,0.00022112123
52,0.6555101
53,0.018098319
54,0.99998164
55,0.63350374
56,5.5007035e-06
57,0.9999157
58,0.4125447
59,5.452315e-06
60,3.0416566e-05
61,2.760547e-05
62,6.0752745e-06
63,0.99820983
64,0.9999981
65,0.9996413
66,2.1830063e-05
67,1.3161693e-05
68,0.35014975
69,0.9999889
70,0.004344879
71,3.5093428e-05
72,0.017885925
73,0.99998224
74,1.997261e-05
75,0.9999976
76,2.5709714e-05
77,0.6972432
78,2.6674941e-05
79,8.2531815e-06
80,0.9558393
81,0.99999857
82,4.4054552e-05
83,0.0018840565
84,1.9111923e-05
85,9.8675744e-05
86,0.00043735173
87,0.9999913
88,5.3928223e-05
89,0.00013821058
90,5.9933977e-06
91,1.10320925e-05
92,0.998941
93,0.00035388954
94,0.008745987
95,0.82526994
96,5.420127e-05
97,0.500874
98,0.0011843606
99,0.00020743225
100,0.9999732
101,0.0026468148
102,6.485068e-05
103,4.4297878e-05
104,0.9999707
105,0.9999987
106,0.9999747
107,0.99999714
108,0.00062678143
109,0.99994946
110,0.96034247
111,0.0004314032
112,7.943271e-06
113,0.99927443
114,2.9027886e-05
115,0.0014029192
116,0.9999989
117,3.3194904e-06
118,5.309214e-05
119,1.5302447e-05
120,7.371531e-06
121,0.99999976
122,0.99997807
123,0.1271087
124,0.00015460819
